feature,importance
attendance_pct,0.13856811703767624
assignment_submission_rate,0.10229669099494534
family_income_monthly,0.10020322717018326
internal_marks_avg,0.09899097298338083
distance_from_college_km,0.08215488479697543
cgpa,0.07958819305412058
fee_delay_days,0.07521760192611257
prev_semester_pct,0.07465517488976123
lms_login_freq_per_week,0.03915174994794209
library_visits_per_month,0.03892026991703567
backlogs,0.0367190015679975
fee_due,0.033304397848334784
gender,0.02454226470196948
category,0.020716728494271905
first_generation_learner,0.018306104802449583
extracurricular_participation,0.014495514465968222
scholarship_status,0.011215198676293961
hostel_or_dayscholar,0.010953906724581342
